Name,Description,Type
BigQuery,Data warehouse for business agility and insights.,Analytics
Cloud Composer,Workflow orchestration service built on Apache Airflow.,Analytics
Cloud Data Fusion,Data integration for building and managing data pipelines.,Analytics
Cloud Life Sciences (beta),"Tools for managing, processing, and transforming biomedical data.",Analytics
Data Catalog,Metadata solution for exploring and managing data.,Analytics
Dataflow,Streaming analytics for stream and batch processing.,Analytics
Dataprep,Service to prepare data for analysis and machine learning.,Analytics
Dataproc,Service for running Apache Spark and Apache Hadoop clusters.,Analytics
Google Data Studio*,"Interactive data suite for dashboarding, reporting, and analytics.",Analytics
Google Marketing Platform*,Marketing platform unifying advertising and analytics.,Analytics
Looker,"Platform for BI, data applications, and embedded analytics.",Analytics
Pub/Sub,Messaging service for event ingestion and delivery.,Analytics
API Analytics,"Dashboards, custom reports, and metrics for API performance.",API Management
API Gateway (beta),"Develop, deploy, secure, and manage APIs with a fully managed gateway.",API Management
API Monetization,Revenue stream and business model creation from APIs.,API Management
Apigee API Platform,"API management, development, and security platform.",API Management
Apigee healthcare APIx,FHIR API-based digital service formation.,API Management
Apigee Hybrid,Deployment option for managing APIs on-premises or in the cloud.,API Management
Apigee Open Banking APIx,Open banking and PSD2-compliant API delivery.,API Management
Apigee Sense,Intelligent behavior detection to protect APIs.,API Management
AppSheet,Enable everyone in your organization to build and extend applications without coding.,API Management
Cloud Endpoints,Deployment and development management for APIs on Google Cloud.,API Management
Cloud Healthcare API,Solution to bridge existing care systems and apps on Google Cloud.,API Management
Developer Portal,Self-service and custom developer portal creation.,API Management
App Engine,Serverless application platform for apps and back ends.,Compute
Bare Metal,Infrastructure to run specialized workloads on Google Cloud.,Compute
Cloud GPUs,"GPUs for ML, scientific computing, and 3D visualization.",Compute
Cloud Run,Fully managed environment for running containerized apps.,Compute
Compute Engine,Virtual machines running in Google’s data center.,Compute
Migrate for Compute Engine,Server and virtual machine migration to Compute Engine.,Compute
Preemptible VMs,Compute instances for batch jobs and fault-tolerant workloads.,Compute
Recommender,"Proactive, easily actionable recommendations to keep your cloud optimized.",Compute
Shielded VMs,Reinforced virtual machines on Google Cloud.,Compute
Sole-tenant Nodes,"Dedicated hardware for compliance, licensing, and management.",Compute
SQL Server on Google Cloud,Options for running SQL Server virtual machines on Google Cloud.,Compute
VMware Engine,Migrate and run your VMware workloads natively on Google Cloud.,Compute
Artifact Registry (beta),"Store, manage, and secure container images and language packages.",Containers
Cloud Build,Solution for running build steps in a Docker container.,Containers
Cloud Run,Fully managed environment for running containerized apps.,Containers
Container Registry,"Registry for storing, managing, and securing Docker images.",Containers
Container Security,Container environment security for each stage of the life cycle.,Containers
Deep Learning Containers (beta),"Containers with data science frameworks, libraries, and tools.",Containers
Google Kubernetes Engine (GKE),Managed environment for running containerized apps.,Containers
Knative,Components to create Kubernetes-native cloud-based software.,Containers
Kubernetes applications on Google Cloud Marketplace,Containerized apps with prebuilt deployment and unified billing.,Containers
Cloud Bigtable,NoSQL wide-column database for storing big data with low latency.,Databases
Cloud Spanner,Relational database management system for database administration.,Databases
Cloud SQL,"Relational database services for MySQL, PostgreSQL, and SQL Server.",Databases
Firebase Realtime Database,NoSQL cloud database for storing and syncing data in real time.,Databases
Firestore,NoSQL document database for mobile and web application data.,Databases
Memorystore,In-memory data store service for Redis for fast data processing.,Databases
Artifact Registry (beta),"Store, manage, and secure container images and language packages.",Developer Tools
Cloud Build,Continuous integration and continuous delivery platform.,Developer Tools
Cloud Code,"IDE support to write, run, and debug Kubernetes applications.",Developer Tools
Cloud Scheduler,Cron job scheduler for task automation and management.,Developer Tools
Cloud SDK,Command-line tools and libraries for Google Cloud.,Developer Tools
Cloud Source Repositories,"Private Git repository to store, manage, and track code.",Developer Tools
Cloud Tasks,Task management service for asynchronous task execution.,Developer Tools
Container Registry,Private Docker storage for container images on Google Cloud.,Developer Tools
Firebase Crashlytics,Prioritize and fix stability issues faster.,Developer Tools
Firebase Test Lab,On-demand testing infrastructure for Android apps.,Developer Tools
Gradle App Engine Plugin,Use Gradle for your App Engine projects.,Developer Tools
Maven App Engine Plugin,Use Maven for your App Engine projects.,Developer Tools
Tekton,Kubernetes-native resources for declaring CI/CD pipelines.,Developer Tools
Tools for Eclipse,Plugin for Google Cloud development inside the Eclipse IDE.,Developer Tools
Tools for PowerShell,Full cloud control from Windows PowerShell.,Developer Tools
Game Servers,Game server management service running on Google Kubernetes Engine.,Game Tech
Apigee healthcare APIx,FHIR API-based digital service production.,Healthcare & Life Sciences
Cloud Healthcare API,Solution for bridging existing care systems and apps on Google Cloud.,Healthcare & Life Sciences
Cloud Life Sciences (beta),"Tools for managing, processing, and transforming biomedical data.",Healthcare & Life Sciences
Anthos,Platform for modernizing existing apps and building new ones.,Hybrid & Multi-cloud
Apigee API Management,"API management, development, and security platform.",Hybrid & Multi-cloud
Cloud Build,Service for executing builds on Google Cloud infrastructure.,Hybrid & Multi-cloud
Migrate for Anthos,Tool to move workloads and existing applications to GKE.,Hybrid & Multi-cloud
Certificate Authority Service (beta),Simplify the deployment and management of private CAs.,Identity & Access
Cloud Identity,Unified platform for IT admins to manage user devices and apps.,Identity & Access
Context-aware access,Manage access to apps and infrastructure based on a user’s identity and context.,Identity & Access
Identity and Access Management,Permissions management system for Google Cloud resources.,Identity & Access
Identity Platform,Add Google-grade identity and access management to your apps.,Identity & Access
Identity-Aware Proxy,Use identity and context to guard access to your applications and VMs.,Identity & Access
Managed Service for Microsoft Active Directory,Hardened service running Microsoft® Active Directory (AD).,Identity & Access
Policy Intelligence,Smart access control for your Google Cloud resources.,Identity & Access
Resource Manager,Hierarchical management for organizing resources on Google Cloud.,Identity & Access
Titan Security Key,Two-factor authentication device for user account protection.,Identity & Access
Edge TPU,ASIC designed to run ML inference and AI at the edge.,IoT
IoT Core,"IoT device management, integration, and connection service.",IoT
AI building blocks,Easily infuse AI into applications with custom or pre-trained models.,Machine Learning
