" Cloud Service Provider"," Cloud Service Offering"," Type"," Leveraged A T O"," Authorization Date"," Agency"," Subagency"," Independent Assessor"
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Administration for Children & Families,
CGI Federal,CGI IaaS Cloud,JAB,Yes,,Administrative Office of the United States Courts,,
IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,Agency,Yes,,Administrative Office of the United States Courts,,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Health and Human Services,Agency for Healthcare Research and Quality,
MicroPact,MicroPact Product Suite,Agency,Yes,,Department of Labor,Benefits Review Board,
"Palo Alto Networks, Inc.",Palo Alto Networks Government Cloud Services - WildFire,Agency,Yes,,Department of Energy,Bonneville Power Administration,
Economic Systems,Economic Systems Federal Human Resources Navigator,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
1901 Group,in3sight,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Acquia Inc.,Acquia Cloud,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
"Avaya, Inc.",Avaya Cloud Secure,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,Agency,Yes,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of the Treasury,Bureau of Engraving and Printing,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of the Interior,Bureau of Indian Affairs,
MicroFocus,Fortify on Demand,JAB,Yes,,Department of Labor,Bureau of Labor Statistics,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of the Interior,Bureau of Land Management,
Granicus,GovDelivery Communications Cloud,JAB,Yes,,Department of State,Bureau of Public Affairs,
Everbridge,Everbridge Suite,Agency,Yes,,Department of the Interior,Bureau of Safety and Environmental Enforcement,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of the Interior,Bureau of Safety and Environmental Enforcement,
Oracle,Federal Managed Cloud Services,JAB,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
Appian,Appian Cloud,Agency,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
Amazon,AWS GovCloud,JAB,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
mLINQS,mLINQS Hosting Service,Agency,Yes,,Department of the Treasury,Bureau of the Fiscal Service,
Rackspace Government Solutions,Rackspace Government Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Office 365 Multi-Tenant & Supporting Services,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Esri,ArcGIS Online (AGO),Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
"CrowdStrike, Inc.",Falcon Platform,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
GitHub,GitHub Enterprise Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
"Zoom Video Communications, LLC",Zoom for Government,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Azure Commercial Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Smartsheet,Smartsheet Gov,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Slack Technologies,Slack,Agency,Yes,,Department of Health and Human Services,Centers for Disease Control and Prevention,
Akamai,Content Delivery Services,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Autonomic Resources a wholly-owned subsidiary of CSRA LLC,CSRA / ARC-P Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Appian,Appian Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Amazon,AWS GovCloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Salesforce,Salesforce Government Cloud,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Amazon,AWS US East/West,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
ServiceNow,Government Community Cloud,JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Box Inc.,Box Enterprise Cloud Content Collaboration Platform,Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
Microsoft,Azure Government (includes Dynamics 365),JAB,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
"Okta ",Okta IDaaS Regulated Cloud (Moderate IL2),Agency,Yes,,Department of Health and Human Services,Centers for Medicare & Medicaid Services,
IT-CNP,GovDataHosting Cloud Platform,JAB,Yes,,Commission of Fine Arts,,
Acquia Inc.,Acquia Cloud,Agency,Yes,,Commodity Futures Trading Commission,,
