" Cloud Service Provider"," Cloud Service Offering"," Type"," Service Model"," Leveraged A T O"," Authorization Date"," Announcement Date"," Agency"," Subagency"," Independent Assessor"," Package Id"
18F,18F Cloud.gov,JAB,PaaS,No,01/18/2017,02/02/2017,JAB Authorization,,"Coalfire Systems, Inc.",F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,General Services Administration,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Federal Deposit Insurance Corporation,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Defense,Defense Information Systems Agency,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Federal Election Commission,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Agriculture,United States Forest Service,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Environmental Protection Agency,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,United States Agency for International Development,,,F1607067912
18F,18F Cloud.gov,JAB,PaaS,Yes,,,Department of Agriculture,,,F1607067912
1901 Group,in3sight,Agency,SaaS,No,07/26/2018,05/01/2016,United States Access Board,,"Coalfire Systems, Inc.",F1305012100
1901 Group,in3sight,Agency,SaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1305012100
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,No,03/09/2018,06/01/2017,Department of the Interior,,"Coalfire Systems, Inc.",F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Veterans Affairs,VA Office of the Inspector General,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Federal Housing Finance Agency,FHFA Office of the Inspector General,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Energy,,,F1511167634
"Accellion USA, LLC.",Kiteworks Federal Cloud,Agency,SaaS,Yes,,,Department of Labor,,,F1511167634
Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,Agency,SaaS,No,10/18/2019,01/28/2020,National Gallery of Art,,"Coalfire Systems, Inc.",FR1834336116
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,SaaS,No,06/12/2019,06/24/2016,National Science Foundation,,"Coalfire Systems, Inc.",F1404043549
Accenture Federal Services,Accenture Federal Cloud ERP,Agency,SaaS,Yes,,,Department of Energy,Federal Energy Regulatory Commission,,F1404043549
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,No,09/22/2017,09/25/2017,JAB Authorization,,"Coalfire Systems, Inc.",FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Universal Service Administrative Company,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Department of Agriculture,,,FR1704369518
Accenture Federal Services,Accenture Insights Platform (AIP) For Government,JAB,PaaS,Yes,,,Department of Commerce,,,FR1704369518
"Acendre, Inc.",Acendre Talent Management Solution Suite,Agency,SaaS,No,07/12/2018,08/10/2018,Federal Housing Finance Agency,,SecureIT,F1604217888
"AchieveIt Online, LLC",AchieveIt,Agency,SaaS,No,,,Department of Veterans Affairs,,"A-LIGN Compliance and Security, Inc. dba A-LIGN",FR2106555313
Acquia Inc.,Acquia Cloud,Agency,PaaS,No,06/29/2018,04/13/2016,Department of the Treasury,,"Schellman & Company, LLC",F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Social Security Administration,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Commerce,National Institute of Standards and Technology,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of the Treasury,Internal Revenue Service,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,Justice Management Division,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Corporation for National & Community Service (CNCS),,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Commodity Futures Trading Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,United States Securities and Exchange Commission,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives",,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Pension Benefit Guaranty Corporation,,,F1302201919
Acquia Inc.,Acquia Cloud,Agency,PaaS,Yes,,,Department of Justice,Office of Justice Programs,,F1302201919
